Dt.Ref: 19/07/2025;;;;;;;;;
;;;;;;;;;
Hora: 17:30:08;;;;;;;;;
;;;;;;;;;
Emissão: 19/07/2025;;;;;;;;;
;;;;;;;;;
Filial;Status;Codigo;Arquivo;Data;Hora;CONTRAT;Versao;Valor;Tipo Cob
001001-MEDICAR RIBEIRAO;IMPORTADO COM SUCESSO;00000001;C:\temp\Layout Medicar Padrão_Movimentação importador de vidas.csv;22/12/2023;13:54:56;10010004000000000007001000022365001;001;0,0100;APENAS O TITULAR
001001-MEDICAR RIBEIRAO;IMPORTADO COM CRITICA;00000002;C:\temp\Layout Medicar Padrão_Movimentação importador de vidas.csv;22/12/2023;14:05:19;10010004000000000007001000022365001;001;0,0000;APENAS O TITULAR
001001-MEDICAR RIBEIRAO;IMPORTADO COM SUCESSO;00000004;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2024\04 - ABRIL\TOTVS\MEDICAR INCLUSOES ANAFE GERAL Maio.2024.csv;26/04/2024;07:47:39;10010005000000000010001001021824001;001;2,5800;TODOS OS BENEFICIARIOS
001001-MEDICAR RIBEIRAO;IMPORTADO COM SUCESSO;00000005;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2024\04 - ABRIL\TOTVS\UTI_Movel_20240425_.csv;02/05/2024;08:39:34;10010005000000000010001001023482001;001;0,0100;TODOS OS BENEFICIARIOS
001001-MEDICAR RIBEIRAO;IMPORTADO COM SUCESSO;00000006;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2024\04 - ABRIL\TOTVS\ABETMedCar_APH.csv;02/05/2024;09:17:03;10010005000000000010001001009469001;001;2,6800;TODOS OS BENEFICIARIOS
001001-MEDICAR RIBEIRAO;IMPORTADO COM SUCESSO;00000010;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2024\04 - ABRIL\TOTVS\ABETMedCar_OMT.csv;02/05/2024;10:28:02;10010005000000000005001001009467001;001;2,6800;TODOS OS BENEFICIARIOS
001001-MEDICAR RIBEIRAO;IMPORTADO COM CRITICA;00000011;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2024\05 - MAIO\TOTVS\CLIENTES_SUPREMED_MEDICAR_20240515.csv;16/05/2024;13:38:03;10010004000000000002001001020615001;001;2,0000;TODOS OS BENEFICIARIOS
001001-MEDICAR RIBEIRAO;IMPORTADO COM CRITICA;00000012;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2024\05 - MAIO\TOTVS\CLIENTES_SUPREMED_MEDICAR_20240515.csv;16/05/2024;14:45:48;10010004000000000002001001020615001;001;2,0000;TODOS OS BENEFICIARIOS
001001-MEDICAR RIBEIRAO;IMPORTADO COM CRITICA;00000013;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2024\05 - MAIO\TOTVS\CLIENTES_SUPREMED_MEDICAR_20240515.csv;16/05/2024;15:52:36;10010004000000000002001001020615001;001;2,0000;TODOS OS BENEFICIARIOS
001001-MEDICAR RIBEIRAO;IMPORTADO COM SUCESSO;00000014;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2024\05 - MAIO\20.05.2024\UTI_Movel_20240520.csv;20/05/2024;14:28:36;10010005000000000010001001023482001;001;0,0100;TODOS OS BENEFICIARIOS
