Filial;Codigo Imp.;Status;Data Import.;Hora Import.;Data Proc.;Hora Proc.;Msg. Erro;Contrato;Versao Ctr.;Cod Plano;Versao;Valor;LOG;Usuario;Cod Emp;Arquivo;Total Vidas;Dt. Ult Atua;Hr. Ult Alte;Vidas Proc.;Tp. Cob
001001-MEDICAR RIBEIRAO;000000001;Finalizado;19/03/2025;10:01;19/03/2025;10:22;;001023482;001;0030;001;0,01;;naomi.souza;0005;;;  /  /;;;
001001-MEDICAR RIBEIRAO;000000002;Finalizado;21/03/2025;13:51;21/03/2025;14:07;;002327119;001;0051;001;29,49;;naomi.souza;0004;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2025\03 - MARÇO\21.03.2025\HTB 19.03.2025.csv;;  /  /;;;
001001-MEDICAR RIBEIRAO;000000003;Finalizado;25/03/2025;13:38;25/03/2025;15:36;;001018538;001;0049;001;2,1256;;naomi.souza;0005;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2025\03 - MARÇO\25.03.2025\STACASABATATIS_MEDICAR_2003;;  /  /;;;
001001-MEDICAR RIBEIRAO;000000004;Finalizado;26/03/2025;15:39;28/03/2025;10:34;;001020615;001;0066;001;2;;emily.oliveira;0004;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2025\03 - MARÇO\26.03.2025\CLIENTES_SUPREMED_MEDICAR_2;;  /  /;;;
001001-MEDICAR RIBEIRAO;000000005;Finalizado;27/03/2025;16:16;28/03/2025;08:56;;001007145;001;0030;001;0,95;;naomi.souza;0004;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2025\03 - MARÇO\27.03.2025\Multibucal-ArquivoMedicar03;;  /  /;;;
001001-MEDICAR RIBEIRAO;000000006;Finalizado;01/04/2025;08:40;02/04/2025;09:52;;001021824;001;0030;001;2,71;;naomi.souza;0005;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2025\04 - ABRIL\01.04.2025\MEDICAR INCLUSOES ANAFE GER;;  /  /;;;
001001-MEDICAR RIBEIRAO;000000007;Finalizado;04/04/2025;08:58;08/04/2025;08:44;;000023099;001;0030;001;8,5;;naomi.souza;0004;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2025\04 - ABRIL\04.04.2025\StaCasa_Ribeirão_BaseMedica;;  /  /;;;
001001-MEDICAR RIBEIRAO;000000008;Finalizado;04/04/2025;10:42;04/04/2025;12:46;;001021824;001;0030;001;2,71;;naomi.souza;0005;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2025\04 - ABRIL\04.04.2025\MEDICAR INCLUSOES ANAFE GER;;  /  /;;;
001001-MEDICAR RIBEIRAO;000000009;Finalizado;04/04/2025;13:46;05/04/2025;00:24;;001007454;001;0030;001;1,5;;naomi.souza;0005;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2025\04 - ABRIL\04.04.2025\UNAFISCO_MEDICAR_01042025.c;;  /  /;;;
001001-MEDICAR RIBEIRAO;000000010;Finalizado;08/04/2025;11:15;08/04/2025;13:09;;002326776;001;0030;001;0,01;;naomi.souza;0005;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2025\04 - ABRIL\08.04.2025\UTI_Movel_20250404.csv;;  /  /;;;
001001-MEDICAR RIBEIRAO;000000011;Finalizado;08/04/2025;13:18;08/04/2025;13:36;;002327697;001;0051;001;29,49;;naomi.souza;0004;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2025\04 - ABRIL\08.04.2025\2025-04-08 - Palmont.csv;;  /  /;;;
001001-MEDICAR RIBEIRAO;000000012;Finalizado;08/04/2025;14:29;09/04/2025;06:07;;001007454;001;0030;001;1,5;;naomi.souza;0005;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2025\04 - ABRIL\08.04.2025\UNAFISCO_MEDICAR_01042025.c;;  /  /;;;
001001-MEDICAR RIBEIRAO;000000013;Finalizado;10/04/2025;13:03;10/04/2025;13:17;;001021417;001;0051;001;9,9;;naomi.souza;0004;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2025\04 - ABRIL\10.04.2025\INTERATIVA ISOLACOES TERMIC;;  /  /;;;
001001-MEDICAR RIBEIRAO;000000014;Finalizado;11/04/2025;17:13;11/04/2025;17:38;;002329166;001;0051;001;15,9;;emily.oliveira;0004;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2025\04 - ABRIL\11.04.2025\SUGGEST.csv;;  /  /;;;
001001-MEDICAR RIBEIRAO;000000015;Finalizado;16/04/2025;08:02;16/04/2025;09:18;;002328506;001;0030;001;12;;naomi.souza;0004;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2025\04 - ABRIL\16.04.2025\Lista Mialich Medicar - 15.;;  /  /;;;
001001-MEDICAR RIBEIRAO;000000016;Finalizado;24/04/2025;07:53;24/04/2025;08:25;;001023482;001;0030;001;0,01;;naomi.souza;0005;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2025\04 - ABRIL\24.04.2025\UTI_Movel_20250423.csv;;  /  /;;;
001001-MEDICAR RIBEIRAO;000000017;Finalizado;28/04/2025;08:29;28/04/2025;09:25;;001007145;001;0030;001;1;;naomi.souza;0004;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2025\04 - ABRIL\28.04.2025\Multibucal-ArquivoMedicar04;;  /  /;;;
001001-MEDICAR RIBEIRAO;000000018;Finalizado;29/04/2025;13:33;29/04/2025;14:10;;001020615;001;0066;001;8000;;naomi.souza;0004;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2025\04 - ABRIL\29.04.2025\CLIENTES_SUPREMED_MEDICAR_2;;  /  /;;;
001001-MEDICAR RIBEIRAO;000000019;Finalizado;02/05/2025;08:11;02/05/2025;09:10;;001021824;001;0030;001;2,71;;naomi.souza;0005;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2025\05 - MAIO\02.05.2025\MEDICAR INCLUSOES ANAFE GERA;;  /  /;;;
001001-MEDICAR RIBEIRAO;000000020;Finalizado;02/05/2025;15:02;  /  /;;;001007454;001;0030;001;1,5;;naomi.souza;0005;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2025\05 - MAIO\02.05.2025\UNAFISCO_235_01052025.csv;;  /  /;;;
001001-MEDICAR RIBEIRAO;000000021;Finalizado;07/05/2025;15:06;07/05/2025;15:17;;002326776;001;;;0,01;;naomi.souza;0005;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2025\05 - MAIO\07.05.2025\UTI_Movel_20250502.csv;;  /  /;;;
001001-MEDICAR RIBEIRAO;000000022;Finalizado;08/05/2025;13:36;08/05/2025;13:52;;000023099;001;0030;001;8,5;;naomi.souza;0004;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2025\05 - MAIO\08.05.2025\StaCasa_Ribeirão_BaseMedicar;3474;08/05/2025;13:52;3474;
001001-MEDICAR RIBEIRAO;000000023;Finalizado;08/05/2025;14:33;08/05/2025;14:44;;001022067;001;0065;001;17,98;;naomi.souza;0004;C:\Users\naomi.souza\Desktop\CONTRATOS MIGRAÇÃO\CANTINHO DO CEU .csv;188;08/05/2025;14:44;188;
001001-MEDICAR RIBEIRAO;000000024;Finalizado;09/05/2025;09:08;09/05/2025;09:34;;001021824;001;0030;001;2,71;;naomi.souza;0005;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2025\05 - MAIO\09.05.2025\MEDICAR INCLUSOES ANAFE GERA;5861;09/05/2025;09:34;5861;
001001-MEDICAR RIBEIRAO;000000025;Finalizado;13/05/2025;14:53;13/05/2025;15:02;;002327119;001;0051;001;29,49;;naomi.souza;0004;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2025\05 - MAIO\13.05.2025\HTB 08.05.2025.csv;335;13/05/2025;15:02;335;
001001-MEDICAR RIBEIRAO;000000026;Finalizado;15/05/2025;10:57;15/05/2025;11:02;;002326776;001;0030;001;0,01;;naomi.souza;0005;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2025\05 - MAIO\15.05.2025\UTI_Movel_20250513.csv;457;15/05/2025;11:02;457;
001001-MEDICAR RIBEIRAO;000000027;Finalizado;16/05/2025;07:42;16/05/2025;07:59;;002328506;001;0030;001;12;;naomi.souza;0004;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2025\05 - MAIO\16.05.2025\Lista Mialich Medicar - 15.0;1556;16/05/2025;07:59;1556;
001001-MEDICAR RIBEIRAO;000000028;Finalizado;26/05/2025;14:48;26/05/2025;14:53;;002326776;001;0030;001;0,01;;naomi.souza;0005;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2025\05 - MAIO\26.05.2025\UTI_Movel_20250526.csv;453;26/05/2025;14:53;453;
001001-MEDICAR RIBEIRAO;000000029;Finalizado;26/05/2025;14:59;26/05/2025;15:04;;001023482;001;0030;001;0,01;;naomi.souza;0005;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2025\05 - MAIO\26.05.2025\UTI_Movel_20250525.csv;611;26/05/2025;15:04;611;
001001-MEDICAR RIBEIRAO;000000030;Finalizado;27/05/2025;08:46;27/05/2025;08:59;;001007145;001;0030;001;1;;naomi.souza;0004;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2025\05 - MAIO\27.05.2025\Multibucal-ArquivoMedicar05-;1899;27/05/2025;08:59;1899;
